Name;Country;Type;LAT;LON
Abu;Japan;Shield;34.50;131.60
Acamarachi;Chile;Stratovolcano;-23.30;-67.62
Acatenango;Guatemala;Stratovolcano;14.50;-90.88
Acigöl-Nevsehir;Turkey;Caldera;38.57;34.52
Adams;United States;Stratovolcano;46.21;-121.49
Adams Seamount;Pacific Ocean;Submarine;-25.37;-129.27
Adatara;Japan;Stratovolcano;37.64;140.29
Adwa;Ethiopia;Stratovolcano;10.08;40.84
Afder?;Ethiopia;Stratovolcano;13.08;40.85
Agrigan;Mariana Islands;Stratovolcano;18.77;145.67
Agua;Guatemala;Stratovolcano;14.47;-90.74
Agua de Pau;Portugal;Stratovolcano;37.77;-25.47
Aguilera;Chile;Stratovolcano;-50.33;-73.75
Agung;Indonesia;Stratovolcano;-8.34;115.51
Ahyi;Mariana Islands;Submarine;20.42;145.03
Akademia Nauk;Russia;Caldera;53.98;159.45
Akagi;Japan;Stratovolcano;36.56;139.20
Akan;Japan;Caldera;43.38;144.01
Akhtang;Russia;Shield;55.43;158.65
Akita Komagatake;Japan;Stratovolcano;39.76;140.80
Akita Yakeyama;Japan;Stratovolcano;39.96;140.76
Akuseki-jima;Japan;Stratovolcano;29.46;129.60
Akutan;United States;Stratovolcano;54.13;-165.99
Alaid;Russia;Stratovolcano;50.86;155.55
Alamagan;Mariana Islands;Stratovolcano;17.60;145.83
Alayta;Ethiopia;Shield;12.88;40.57
Alban Hills;Italy;Caldera;41.73;12.70
Alcedo;Galápagos Islands;Shield;-0.43;-91.12
Ale Bagu;Ethiopia;Stratovolcano;13.52;40.63
Alid;Eritrea;Stratovolcano;14.88;39.92
Ambrym;Vanuatu;Caldera, Shield;-16.25;168.12
Ambrym;Vanuatu;Caldera, Shield;-16.25;168.12
Anatahan;Mariana Islands;Stratovolcano;16.35;145.67
Aneityum;Vanuatu;Stratovolcano;-20.20;169.78
Aniakchak;United States;Caldera;56.88;-158.17
Antisana;Ecuador;Stratovolcano;-0.48;-78.14
Aoba;Vanuatu;Shield;-15.40;167.83
Ararat;Turkey;Stratovolcano;39.70;44.30
Arenal;Costa Rica;Stratovolcano;-84.70;-84.70
Arintica;Chile;Complex;-18.73;-69.05
Asacha;Russia;Stratovolcano;52.36;157.83
Asama;Japan;Complex;36.40;138.53
Ascensión;South Atlantic Ocean;Stratovolcano;-7.95;-14.37
Askja;Iceland;Stratovolcano;65.03;-16.75
Aso;Japan;Caldera;32.88;131.11
Atitlán;Guatemala;Complex;14.58;-91.19
Atka;United States;Caldera;52.38;-174.15
Atsonupuri;Russia;Stratovolcano;44.81;147.14
Augustine;United States;Lava dome;59.36;-153.43
Avachinsky;Russia;Stratovolcano;53.26;158.83
Awu;Indonesia;Stratovolcano;125.50;125.50
Axial Seamount;Pacific Ocean;Submarine;45.95;-130.00
Ayelu;Ethiopia;Stratovolcano;10.08;40.70
Azufre;Chile;Complex;-21.79;-68.24
Azuma;Japan;Stratovolcano;37.73;140.25
Babuyon Claro;Philippines;Stratovolcano;19.50;121.90
Bachelor;United States;Stratovolcano;43.80;121.60
Bagana;Papua New Guinea;Cinder Cone;-6.10;155.20
Baker;United States;Stratovolcano;48.79;-121.82
Bam;Papua New Guinea;Stratovolcano;-3.60;144.85
Bamus;Papua New Guinea;Stratovolcano;-5.20;151.20
Bandai;Japan;Stratovolcano;37.60;140.10
Barren Island;India;Pyroclastic cone;12.29;93.88
Barrier;Kenya;Complex;2.32;36.57
Bazman;Iran;Stratovolcano;28.00;60.00
Beerenberg;Norway;Stratovolcano;71.10;-8.20
Belknap;United States;Shield;44.28;-121.83
Bezymianny;Russia;Stratovolcano;55.98;160.58
Biliran;Philippines;Complex;11.50;124.50
Bolshoi Semiachik;Russia;Stratovolcano;54.32;160.02
Bulusan;Philippines;Stratovolcano;12.80;124.10
Butajira;Ethiopia;Fissure vent, Maar;8.05;38.35
Cameroon (Mount);Cameroon;Stratovolcano;4.20;9.17
Camiguin de Babuyanes;Philippines;Stratovolcano;18.83;121.85
Canlaon;Philippines;Stratovolcano;10.41;123.13
Capulin;United States;Cinder Cone;36.45;-104.09
Carrizozo;United States;Volcanic field;33.70;-106.00
Cayambe;Ecuador;Stratovolcano;0.03;-77.99
Cereme;Indonesia;Stratovolcano;-6.90;108.41
Chaine des Puys;France;Lava dome;45.78;2.97
Chiginagak;United States;Stratovolcano;57.13;-156.99
Chikurachki;Russia;Stratovolcano;50.33;155.46
Chimborazo;Ecuador;Stratovolcano;-1.46;-78.82
Cleveland;United States;Stratovolcano;52.83;-169.95
Coatepeque;El Salvador;Caldera;13.86;-89.54
Colima;Mexico;Stratovolcano;19.51;103.62
Concepción;Nicaragua;Stratovolcano;11.50;85.60
Copahue;Argentina;Stratovolcano;-37.85;-71.17
Cosigüina;Nicaragua;Shield;12.98;-87.56
Cotopaxi;Ecuador;Stratovolcano;-0.68;-78.44
Crater Lake;United States;Caldera;42.94;-122.11
Craters of the Moon;United States;Volcanic field;43.42;-113.50
Daisetsu;Japan;Stratovolcano;43.70;142.90
Dakataua;Papua New Guinea;Caldera;-5.00;150.10
Damavand;Iran;Stratovolcano;35.95;52.11
Dempo;Indonesia;Stratovolcano;-4.00;103.10
Devils Garden;United States;Volcanic field;43.50;-120.90
Devils Tower;United States;Plug;44.60;-104.70
Diamond Craters;United States;Volcanic field;43.10;-118.70
Dieng Volcanic Complex;Indonesia;Complex;-7.20;109.90
Diky Greben;Russia;Lava dome;51.46;156.98
Dubbi;Eritrea;Stratovolcano;13.60;41.80
Dukono;Indonesia;Complex;1.70;127.87
East Epi;Vanuatu;Caldera;-16.70;168.40
Ebeko;Russia;Somma;50.68;156.02
Egmont (Taranaki);New Zealand;Stratovolcano;-39.30;174.10
Egon;Indonesia;Stratovolcano;-8.70;122.45
El Chichon;Mexico;Caldera;17.36;-93.23
Elbrus;Russia;Stratovolcano;43.33;42.45
Erebus;Antarctica;Stratovolcano;-77.50;167.20
Erta Ale;Ethiopia;Shield;13.60;40.70
Etna;Italy;Stratovolcano;37.73;15.00
Fantale;Ethiopia;Stratovolcano;8.98;39.93
Fernandina;Ecuador;Caldera;-0.37;-91.55
Fisher;United States;Stratovolcano;-54.63;-164.42
Fogo;Cape Verde Islands;Stratovolcano;14.95;-24.35
Fort Rock;United States;Maar;43.37;-121.07
Frosty Peak;United States;Stratovolcano;55.08;-162.81
Fuego;Guatemala;Stratovolcano;14.47;-90.88
Fuerteventura;Spain;Fissure vent;28.36;-14.02
Fuji;Japan;Stratovolcano;35.36;138.73
Furnas;Portugal;Stratovolcano;37.76;-25.33
Fuss Peak;Russia;Stratovolcano;50.27;155.25
Galeras;Colombia;Stratovolcano;1.22;-77.37
Galunggung;Indonesia;Stratovolcano;-7.26;108.08
Gamalama;Indonesia;Stratovolcano;0.81;127.33
Gamchen;Russia;Stratovolcano;54.97;160.68
Gamkonora;Indonesia;Stratovolcano;1.38;127.53
Gareloi;United States;Stratovolcano;51.80;178.80
Gaua;Vanuatu;Stratovolcano;-14.27;167.50
Gede;Indonesia;-;-6.77;106.94
Glacier Peak;United States;Stratovolcano;48.11;-121.11
Gorely;Russia;Caldera;52.56;158.03
Graciosa;Portugal;Stratovolcano;39.02;-27.97
Gran Canaria;Spain;Fissure vent;28.00;15.58
Great Sitkin;United States;Stratovolcano;52.07;-176.13
Griggs;United States;Stratovolcano;58.35;-155.09
Grímsvötn;Iceland;Caldera;64.42;-17.33
Guagua Pichincha;Ecuador;-;-0.17;-78.60
Guallatiri;Chile;Stratovolcano;-18.42;-69.09
Guguan;United States;Stratovolcano;17.31;145.84
Hakone;Japan;-;35.23;139.02
Heard;Australia;Stratovolcano;-53.10;73.50
Hibok-hibok;Philippines;Stratovolcano;9.20;124.70
Hierro;Spain;Shield;27.73;-18.03
Hood;United States;Stratovolcano;45.40;-121.70
Hualalai;United States;Shield;19.69;-155.87
Ibu;Indonesia;Stratovolcano;1.49;127.63
Ijen;Indonesia;Stratovolcano;-8.06;114.24
Iliamna;United States;Stratovolcano;60.03;-153.09
Iliboleng;Indonesia;Stratovolcano;-8.34;123.26
Iliniza;Ecuador;Stratovolcano;-0.66;-78.71
Ilopango;El Salvador;Caldera;13.67;-89.05
Ilyinsky;Russia;Stratovolcano;51.49;157.20
Ioto (Iwo-jima);Japan;Caldera;24.75;141.29
Iraya;Philippines;Stratovolcano;20.47;122.01
Irazu;Costa Rica;Stratovolcano;9.98;83.85
Isanotski;United States;Stratovolcano;54.77;-163.72
Izalco;El Salvador;Stratovolcano;13.81;-89.63
Iztaccihuatl;Mexico;Stratovolcano;19.18;-98.64
Izu-Tobu;Japan;Pyroclastic cone;34.90;139.10
Jailolo;Indonesia;Stratovolcano;1.08;127.42
Jefferson;United States;Stratovolcano;44.67;-121.80
Jordan Craters;United States;Volcanic field;43.10;-117.40
Kadovar;Papua New Guinea;Stratovolcano;-3.63;144.63
Kaguyak;United States;Stratovolcano;58.62;-154.06
Kahoolawe;United States;Shield;20.55;-156.57
Kambalny;Russia;Stratovolcano;51.30;156.87
Kanaga;United States;Stratovolcano;51.92;-177.17
Karangetang [Api Siau];Indonesia;Stratovolcano;2.78;125.40
Karisimbi;Congo, Rwanda;Stratovolcano;-1.51;29.45
Karisimbi;Congo, Rwanda;Stratovolcano;-1.51;29.45
Karthala;Comoros;Shield;-11.75;43.38
Karymsky;Russia;Stratovolcano;54.05;159.45
Katla;Iceland;Fissure vent;63.63;-19.05
Katmai;United States;Stratovolcano;58.28;-154.96
Katwe-Kikorongo;Uganda;Volcanic field;-0.08;29.92
Kavachi;Solomon Islands;Submarine;-9.02;157.95
Kell;Russia;Stratovolcano;51.65;157.35
Kelut;Indonesia;Stratovolcano;-7.93;112.31
Kerinci;Indonesia;Stratovolcano;1.70;101.26
Khodutka;Russia;Stratovolcano;52.06;157.70
Kialagvik;United States;Stratovolcano;57.20;-156.75
Kick 'em Jenny;Grenada;Submarine;12.30;-61.64
Kikai;Japan;Caldera;30.79;130.31
Kikhpinych;Russia;Stratovolcano;54.49;160.25
Kilauea;United States;Shield;19.42;-155.29
Kilimanjaro;Tanzania;Stratovolcano;3.07;37.35
Kirishima;Japan;Stratovolcano;31.93;130.86
Kliuchevskoi;Russia;Stratovolcano;56.06;160.64
Komagatake;Japan;Stratovolcano;42.06;140.68
Kone;Ethiopia;Caldera;29434;39.69
Koryaksky;Russia;Stratovolcano;53.32;158.69
Koshelev;Russia;Stratovolcano;51.36;156.75
Krafla;Iceland;Caldera;65.73;-16.78
Krakatau;Indonesia;Stratovolcano;-6.10;105.42
Krasheninnikov;Russia;Stratovolcano;54.59;160.27
Kronotsky;Russia;Stratovolcano;54.75;160.53
Ksudach;Russia;Stratovolcano;51.80;157.53
Kukak;United States;Stratovolcano;58.45;-154.36
Kusatsu-Shirane;Japan;Stratovolcano;36.64;138.54
Kutcharo;Japan;Caldera;43.61;144.44
Kuttara;Japan;Stratovolcano;42.49;141.16
Kuwae;Vanuatu;Caldera;-16.83;168.54
La Palma;Spain;Stratovolcano;28.57;-17.83
Lamington;Papua New Guinea;Stratovolcano;-8.95;148.15
Langila;Papua New Guinea;Stratovolcano;-5.53;148.42
Lanzarote;Spain;Fissure vent;29.03;-13.63
Láscar;Chile;Stratovolcano;-23.37;-67.73
Lereboleng;Indonesia;Complex;-8.36;122.84
Lewotobi;Indonesia;Stratovolcano;-8.54;122.78
Lewotolo;Indonesia;Stratovolcano;-8.27;123.51
Liamuiga;St. Kitts and Nevis;Stratovolcano;17.37;-62.80
Lipari;Italy;Stratovolcano;38.48;14.95
Little Sitkin;United States;Stratovolcano;51.95;178.54
Loihi;United States;Submarine;18.92;-155.27
Lokon-Empung;Indonesia;Stratovolcano;1.36;124.79
Lolo;Papua New Guinea;Stratovolcano;-5.47;150.51
Lolobau;Papua New Guinea;Caldera;-4.92;151.16
Loloru;Papua New Guinea;Stratovolcano;-6.52;155.62
Long Island;Papua New Guinea;Complex;-5.36;147.12
Longonot;Kenya;Stratovolcano;-0.91;36.45
Lopevi;Vanuatu;Stratovolcano;-16.51;168.35
Maderas;Nicaragua;Stratovolcano;11.45;-85.52
Mageik;United States;Stratovolcano;58.20;155.25
Mahawu;Indonesia;Stratovolcano;1.36;124.86
Makian;Indonesia;Stratovolcano;0.32;127.40
Maly Semiachik;Russia;Caldera;54.13;159.67
Manam;Papua New Guinea;Stratovolcano;-4.08;145.04
Mariveles;Philippines;Stratovolcano;14.52;120.47
Marsabit;Kenya;Shield;2.32;37.97
Masaya;Nicaragua;Caldera;11.98;-86.16
Mashkovtsev;Russia;Stratovolcano;51.10;156.72
Mashu;Japan;Caldera;43.57;144.57
Mauna Kea;United States;Shield;19.82;-155.47
Mauna Loa;United States;Shield;19.48;-155.61
Mayon;Philippines;Stratovolcano;13.26;123.69
McDonald Islands;Australia;Complex;-53.03;72.60
McLoughlin;United States;Lava cone, Stratovolcano;42.45;-122.32
Mega Basalt Field;Ethiopia, Kenya;Pyroclastic cone;37.42;4.08
Menan Buttes;United States;Tuff ring;43.70;-111.96
Menengai;Kenya;Shield;-0.20;36.07
Merapi;Indonesia;Stratovolcano;-7.54;110.44
Merbabu;Indonesia;Stratovolcano;-7.45;110.43
Meru;Tanzania;Stratovolcano;-3.25;36.75
Methana;Greece;Lava dome;37.62;23.34
Metis Shoal;Tonga;Submarine;-19.18;-174.87
Michael;United Kingdom;Stratovolcano;-57.78;-26.45
Michoacan-Guanajuato;Mexico;Cinder Cone;19.85;-101.75
Mílos;Greece;Stratovolcano;36.70;24.44
Miyake-jima;Japan;Stratovolcano;34.08;139.53
Moffett;United States;Stratovolcano;51.94;-176.75
Mojanda;Ecuador;Stratovolcano;0.13;-78.27
Momotombo;Nicaragua;Stratovolcano;15676;-86.54
Monaco Bank;Portugal;Submarine;37.60;-25.88
Mono Lake Vol Field;United States;Volcanic field;38.00;-119.03
Monowai Seamount;New Zealand;Submarine;-25.89;-177.19
Moti;Indonesia;Stratovolcano;0.45;127.40
Muria;Indonesia;Stratovolcano;-6.62;110.88
Nantai;Japan;Stratovolcano;36.76;139.48
Nasu;Japan;Stratovolcano;37.12;139.97
Negro, Cerro;Nicaragua;Cinder Cone;12.51;-86.70
Nemo Peak;Russia;Caldera;49.57;154.81
Nevis Peak;St. Kitts and Nevis;Stratovolcano;17.15;-62.58
Newberry;United States;Shield;43.72;-121.23
Newer Volcanics Province;Australia;Shield;-37.77;142.50
Ngauruhoe;New Zealand;Stratovolcano;-39.13;175.64
Nikko-Shirane;Japan;Shield;36.80;139.38
Nipesotsu-Maruyama;Japan;Stratovolcano;43.45;143.04
Nisyros;Greece;Stratovolcano;36.59;27.16
Nyambeni Hills;Kenya;Shield;0.23;37.87
Nyamuragira;Democratic Republic of Congo;Shield;-1.41;29.20
Nyiragongo;Democratic Republic of Congo;Stratovolcano;-1.52;29.25
Ojos del Salado;Argentina, Chile;Stratovolcano;-27.12;-68.55
Okataina;New Zealand;Lava dome;-38.12;176.50
Okmok;United States;Shield;53.43;-168.13
Oku Volcanic Field;Cameroon;Stratovolcano;6.25;10.50
Ol Doinyo Lengai;Tanzania;Stratovolcano;-2.76;39.91
Opala;Russia;Caldera;52.54;157.34
Oraefajokull;Iceland;Stratovolcano;64.00;-16.65
Oshima;Japan;Stratovolcano;34.72;139.40
Pacaya;Guatemala;Complex;14.38;-90.60
Pagan;United States;Stratovolcano;18.13;145.80
Pago;Papua New Guinea;Caldera;-5.58;150.52
Papandayan;Indonesia;Stratovolcano;-7.32;107.73
Paricutin;Mexico;Cinder Cone;19.50;-102.20
Parinacota;Bolivia, Chile;Stratovolcano;-18.17;-69.15
Pauzhetka;Russia;Lava dome;51.45;156.97
Pavlof;United States;Stratovolcano;55.42;-161.89
Pavlof Sister;United States;Stratovolcano;55.45;-161.84
Pelee;France;Stratovolcano;14.82;-61.17
Peuet Sague;Indonesia;Complex;4.91;96.33
Pico;Portugal;Stratovolcano;38.47;-28.40
Pilas, Las;Nicaragua;Stratovolcano;11.54;-85.62
Pinacate;Mexico;Cinder Cone;31.77;-113.50
Pinatubo;Philippines;Stratovolcano;15.13;120.35
Pisgah Lava Field;United States;Volcanic field;34.75;-116.63
Piton de la Fournaise;France;Shield;-21.23;55.71
Poas;Costa Rica;Stratovolcano;10.20;-84.23
Popocatepetl;Mexico;Stratovolcano;19.02;-98.62
Prevo Peak;Russia;Stratovolcano;47.02;152.12
Purace;Colombia;Stratovolcano;2.32;-76.40
Quill, The;Netherlands;Stratovolcano;17.48;-62.96
Rabaul;Papua New Guinea;Shield;-4.27;152.20
Ragang;Philippines;Stratovolcano;7.70;124.50
Raikoke;Russia;Stratovolcano;48.29;153.25
Rainier;United States;Stratovolcano;46.85;-121.76
Rajabasa;Indonesia;Stratovolcano;-5.78;105.63
Raoul;New Zealand;Stratovolcano;-29.27;-177.92
Rasshua;Russia;Stratovolcano;47.77;153.02
Raung;Indonesia;Stratovolcano;-8.13;114.04
Rausu;Japan;Stratovolcano;44.07;145.13
Redoubt;United States;Stratovolcano;60.49;-152.74
Reventador;Ecuador;Stratovolcano;-0.08;-77.66
Rincon de la Vieja;Costa Rica;Complex;10.83;-85.32
Roundtop;United States;Stratovolcano;54.80;-163.59
Ruapehu;New Zealand;Stratovolcano;-39.28;175.57
Rudakov;Russia;Stratovolcano;45.88;149.83
Ruiz, Nevado del;Colombia;Stratovolcano;4.89;-75.32
Rumble IV;New Zealand;Submarine;-36.13;178.05
Saba;Netherlands;Stratovolcano;17.63;-63.23
Sabancaya;Peru;Stratovolcano;-15.78;-71.85
Sakar;Papua New Guinea;Stratovolcano;-5.41;148.09
Sakura-jima;Japan;Stratovolcano;31.59;130.66
Salak;Indonesia;Stratovolcano;-6.72;106.73
San Cristobal;Nicaragua;Stratovolcano;12.70;-87.00
San Salvador;El Salvador;Stratovolcano;13.73;-89.29
San Vicente;Cape Verde Islands;Stratovolcano;16.90;-25.00
Sanford;United States;Shield;62.22;-144.13
Sangay;Ecuador;Stratovolcano;-2.00;-78.34
Santa Ana;El Salvador;Stratovolcano;13.85;-89.63
Santa Maria;Guatemala;Stratovolcano;14.76;-91.55
Santorini;Greece;Shield;36.40;25.40
Sarychev Peak;Russia;Stratovolcano;48.09;153.20
Savo;Solomon Islands;Stratovolcano;-9.13;159.82
Segula;United States;Stratovolcano;52.02;178.14
Semeru;Indonesia;Stratovolcano;-8.11;112.92
Semisopochnoi;United States;Stratovolcano;51.93;179.58
Sete Cidades;Portugal;Stratovolcano;37.87;-25.78
Shasta;United States;Stratovolcano;41.41;-122.19
Sheveluch;Russia;Stratovolcano;56.65;161.36
Shikotsu;Japan;Caldera;42.69;141.38
Shiretoko-Iwo-zan;Japan;Stratovolcano;44.13;145.17
Shishaldin;United States;Stratovolcano;54.76;-163.97
Sinarka;Russia;Stratovolcano;48.88;154.18
Smirnov;Russia;Stratovolcano;44.42;146.14
Sollipulli;Chile;Caldera;-38.97;-71.52
Soputan;Indonesia;Stratovolcano;1.11;124.73
Soufriere Guadeloupe;France;Stratovolcano;16.05;-61.67
Soufri?re Hills;United Kingdom;Stratovolcano;16.72;-62.18
Soufri?re St. Vincent;St. Vincent;Stratovolcano;13.33;-61.18
South Island;Kenya;;2.63;36.60
SP Mountain;United States;Cinder Cone;35.60;-111.60
Spurr;United States;Stratovolcano;61.30;-152.25
Srednii;Russia;Submarine;47.60;152.92
Steller;United States;Stratovolcano;58.40;-154.40
Stromboli;Italy;Stratovolcano;38.79;15.21
Sumaco;Ecuador;Stratovolcano;-0.54;-77.63
Sumbing;Indonesia;Stratovolcano;-7.38;110.07
Sundoro;Indonesia;Stratovolcano;-7.30;109.99
Sunset Craters;United States;Cinder Cone;35.37;-111.50
Suswa;Kenya;Shield;-1.18;36.35
Suwanose-jima;Japan;Stratovolcano;29.64;129.72
Taal;Philippines;Caldera;14.00;120.99
Talang;Indonesia;Stratovolcano;-0.98;100.68
Tambora;Indonesia;Stratovolcano;-8.25;118.00
Tanaga and Takawangha;United States;Stratovolcano;51.89;-178.15
Tangkubanparahu;Indonesia;Stratovolcano;-6.77;107.60
Tao-Rusyr Caldera;Russia;Stratovolcano;49.35;154.70
Tarso Voon;Chad;Stratovolcano;20.92;17.28
Telica Volcano;Nicaragua;Stratovolcano;12.60;-86.85
Tenerife;Spain;Stratovolcano;28.27;-16.64
Tengger Caldera and Bromo;Indonesia;Stratovolcano;-7.94;112.95
Three Fingered Jack;United States;Stratovolcano;44.50;-121.80
Three Sisters;United States;Stratovolcano;44.10;121.77
Thule Islands;United Kingdom;Stratovolcano;-59.45;-27.37
Tiatia;Russia;Stratovolcano;44.35;146.26
Toba;Indonesia;Caldera;2.58;98.83
Todoko-Ranu;Indonesia;Caldera;1.25;127.47
Tokachi;Japan;;43.42;142.69
Tolbachik;Russia;Stratovolcano;55.83;160.33
Tolimán;Guatemala;Stratovolcano;14.61;-91.19
Towada;Japan;Caldera;40.47;140.92
Traitor's Head;Vanuatu;Stratovolcano;-18.75;169.23
Tri Sestry;Russia;Stratovolcano;45.93;149.92
Tristan da Cunha;United Kingdom;Shield;-37.09;-12.28
Tsurumi;Japan;Lava dome;33.28;131.43
Tungurahua;Ecuador;Stratovolcano;-1.47;-78.44
Ubehebe Craters;United States;Maar;37.02;-117.45
Ubinas;Peru;Stratovolcano;-16.36;-70.90
Udina;Russia;Stratovolcano;55.76;160.53
Ugashik and Peulik;United States;Stratovolcano;57.75;-156.37
Uinkaret Volcanic Field;United States;Volcanic field;36.38;-113.13
Ulawun;Papua New Guinea;Stratovolcano;-5.05;151.33
Umboi;Papua New Guinea;Complex;-5.59;147.88
Undara;Australia;Shield;-18.25;144.75
Ungaran and Telomoyo;Indonesia;Stratovolcano;-7.18;110.33
Unzen;Japan;Complex;32.76;130.29
Urataman;Russia;Somma;47.12;152.25
Ushishur;Russia;Caldera;47.52;152.80
Usu;Japan;Stratovolcano;42.54;140.84
Uzon;Russia;Caldera;54.50;159.97
Veniaminof;United States;Stratovolcano;56.17;-159.38
Vernadskii Ridge;Russia;Cinder Cone;50.55;155.97
Vesuvius;Italy;Somma;40.82;14.43
Villarrica;Chile;Stratovolcano;-39.42;-71.93
Vilyuchik;Russia;Stratovolcano;52.70;158.28
Visoke;Congo, Rwanda;Stratovolcano;-1.47;29.49
Vsevidof and Recheschnoi Volcanoes;United States;Stratovolcano;53.13;-168.69
Vulcano;Italy;;38.40;14.96
Washington;United States;Shield;44.30;-121.80
Wau-en-Namus;Libya;Caldera;25.05;17.55
Westdahl;United States;Stratovolcano;54.52;-164.65
White Island;New Zealand;Stratovolcano;-37.52;177.18
Wrangell;United States;Shield;62.00;-144.02
Wudalianchi;China;Volcanic field;48.72;126.12
Yake-dake;Japan;Stratovolcano;36.22;137.59
Yali;Greece;Lava dome;36.67;27.14
Yantarni;United States;Stratovolcano;57.02;-157.19
Yasur;Vanuatu;Stratovolcano;-19.53;169.44
Yellowstone;United States;Caldera;44.43;-110.67
Zavaritzki Caldera;Russia;Caldera;46.93;151.95
Zheltovsky;Russia;;51.57;157.32
Zhupanovsky;Russia;;53.59;159.15
Zimina;Russia;Stratovolcano;55.86;160.60
